City,FAA,IATA,ICAO,Airport,Role,Enplanements
Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,"1,335,215"
Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,"48,423"
Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,"505,541"
Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,"287,661"
Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,"157,958"
Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,"2,325,030"
Aniak,ANI,ANI,PANI,Aniak Airport,P-N,"14,334"
Barrow,BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,"51,568"
Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,"152,084"
Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,"15,772"
Deadhorse / Prudhoe Bay,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,"48,588"
Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,"26,632"
Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,"457,372"
Galena,GAL,GAL,PAGA,Edward G. Pitka Sr. Airport,P-N [nb 1],"14,141"
Gustavus,GST,GST,PGST,Gustavus Airport,P-N [nb 2],"14,141"
Haines,HNS,HNS,PAHN,Haines Airport (also see Haines Seaplane Base),P-N,"10,106"
Homer,HOM,HOM,PAHO,Homer Airport,P-N,"37,705"
Hoonah,HNH,HNH,PAOH,Hoonah Airport (also see Hoonah Seaplane Base),P-N [nb 3],"10,468"
Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,"321,573"
Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,"99,821"
Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,"109,433"
King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,"35,450"
Kodiak,ADQ,ADQ,PADQ,Kodiak Airport,P-N,"79,930"
Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,"61,274"
Nome,OME,OME,PAOM,Nome Airport,P-N,"58,020"
Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,"20,046"
Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,"67,989"
St. Mary's,KSM,KSM,PASM,St. Mary's Airport,P-N,"13,949"
Unalakleet,UNK,UNK,PAUN,Unalakleet Airport,P-N,"14,011"
Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen Airport),P-N,"28,556"
Valdez,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field),P-N,"13,318"
Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,"11,807"
