,dbn,school_name,boro,grade_span_min,grade_span_max,zip,total_students,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,extracurricular_activities,school_sports,partner_highered,ell_programs,number_programs,psal_sports_boys,psal_sports_girls,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,student_satisfaction_2013,ontrack_year1_2012,graduation_rate_2012,college_career_rate_2012,student_satisfaction_2012,ontrack_year1_historic_avg_similar_schls,graduation_rate_historic_avg_similar_schls,college_career_rate_historic_avg_similar_schls,student_satisfaction_historic_avg_similar_schls,quality_review_rating,quality_review_year,program,interest,eng,math,soc,sci,stm,ela,seat_gr09,app_gr09,seat_gr10,app_gr10
1,01M292,Henry Street School for International Studies,Manhattan,6,12,10002,323,,"Academy for College Preparation and Career Exploration: A College Board School is a small secondary school with an exciting program. Students are exposed to a wide range of internships, mentor programs and extracurricular activities that help them discover their true talents. Students develop, with the help of their advisors, guidance counselors, parents and college/community-based mentors, the path best suited for their talents and potential. Our internships and mentor programs provide opportunities for students to work with professionals in the career field of their choice.","Internships and Mentor Programs at local colleges, community-based organizations and businesses; Community Service; Summer Institutes for English, Mathematics and a third subject of the student's choice","Chinese (Mandarin), Spanish",Psychology,"Math through Card Play; Art, Poetry/Spoken Word, Drama, Book, STEP, Big Brothers/Big Sisters, Student Government/Leadership, Future Project","Boxing, Track, CHAMPS, Tennis, Flag Football, Softball",New York University,ESL,1,"Baseball, Basketball & JV Basketball, Bowling, Cross Country, Football & JV Football, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Volleyball","Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball",62%,58%,32%,7.1,81%,51%,40%,6.3,72%,65%,42%,7.3,Proficient,2012-13,International Studies,Humanities & Interdisciplinary,,,,,,,98,145,None,None
2,01M448,University Neighborhood High School,Manhattan,9,12,10002,299,,"A member of the Asia Society International Studies Schools Network, our school teaches all of our students the meaning and skills of being an ambassador. Through a challenging academic program that provides opportunities for public service and global awareness, our students learn the art and craft of international diplomacy and develop their technology and communication skills. Students also have the opportunity to achieve proficiency in Mandarin Chinese through an intensive, engaging program designed for students of all levels, including those who have never studied the language before.","Intensive Chinese Language Program for all students, Honors and AP Classes, Advisory, Interdisciplinary Support","Chinese, Spanish","Calculus AB, Chinese Language and Culture, English Literature and Composition, Spanish Language and Culture, Spanish Literature and Culture, United States History, World History","Basketball, Badminton, Handball, Glee, Dance, Fitness, Ping-Pong, Tennis, Step Team, After-School Tutoring, Peer Tutoring, Lunchtime Tutoring, Saturday SAT Prep, Regents Prep, National Honor Society, Council for Unity, Young Women's Empowerment, Student Assistance Services, Aviation, Book, Chess, Robotics, Computer, Spanish, Student Government, Art, Audio (at a live radio station), Music, Digital Art Studio, Guitar and Piano, Literary Magazine, Murals and School Beautification, and Video. At UNHS, we will also help any student develop any club that has 10 or more students interested in joining.",,"New York University, CUNY Baruch College, Parsons School of Design, St. John's University",ESL,3,"Baseball, Basketball, Handball, Soccer, Volleyball & JV Volleyball","Basketball & JV Basketball, Softball, Volleyball",83%,78%,55%,7.5,92%,74%,67%,6.6,73%,64%,41%,7.1,Proficient,2012-13,University Neighborhood Early College,Business,Scores 80-100,Scores 80-100,Scores 80-100,Scores 80-100,Levels 2-4,Levels 2-4,25,95,10,7
3,01M448,University Neighborhood High School,Manhattan,9,12,10002,299,,"Antonia Pantoja Preparatory Academy (APPA) is a college preparatory school offering a continuum of instruction from middle school through high school, with a focus on preparing students to compete and succeed in a global workforce. Our program develops fully multilingual and biliterate students through an integration of social learning experiences. Students participate in programs designed to enhance their understanding of the real world in order to develop critical thinking and problem solving skills, so that they may become productive members of society.","Individualized university/college, academic and career planning; Advisory, career investigations, university and college tours; service learning and social action projects with an emphasis on community service","Chinese, Spanish","Calculus AB, Chinese Language and Culture, English Literature and Composition, Spanish Language and Culture, Spanish Literature and Culture, United States History, World History","Basketball, Badminton, Handball, Glee, Dance, Fitness, Ping-Pong, Tennis, Step Team, After-School Tutoring, Peer Tutoring, Lunchtime Tutoring, Saturday SAT Prep, Regents Prep, National Honor Society, Council for Unity, Young Women's Empowerment, Student Assistance Services, Aviation, Book, Chess, Robotics, Computer, Spanish, Student Government, Art, Audio (at a live radio station), Music, Digital Art Studio, Guitar and Piano, Literary Magazine, Murals and School Beautification, and Video. At UNHS, we will also help any student develop any club that has 10 or more students interested in joining.",,"New York University, CUNY Baruch College, Parsons School of Design, St. John's University",ESL,3,,,83%,78%,55%,7.5,92%,74%,67%,6.6,73%,64%,41%,7.1,Proficient,2012-13,University Neighborhood High School,Science & Math,,,,,,,25,456,10,15
4,01M448,University Neighborhood High School,Manhattan,9,12,10002,299,,"As a community of committed learners, Secondary School for Law cultivates a spirit of excellence in our students through rigorous academic and extracurricular activities, preparing them to engage in challenging post-secondary experiences. Through the integration of demanding support programming such as college-preparatory, academic tutoring, personalized mentoring, and one-on-one college guidance, our goal is to help students develop their own voices by teaching them skills utilized by lawyers â€“ the ability to solve complex problems, think critically and advocate persuasively for themselves and their communities.","Paul Hastings Law Institute, Deloitte, Mock Trial, Debate, Introduction to Law, International Law, Criminal and Constitutional Law, Participation in Government, Mural Art, Studio Art, Modern Dance, Orchestra, Credit-bearing Online Courses, College Now","Chinese, Spanish","Calculus AB, Chinese Language and Culture, English Literature and Composition, Spanish Language and Culture, Spanish Literature and Culture, United States History, World History","Basketball, Badminton, Handball, Glee, Dance, Fitness, Ping-Pong, Tennis, Step Team, After-School Tutoring, Peer Tutoring, Lunchtime Tutoring, Saturday SAT Prep, Regents Prep, National Honor Society, Council for Unity, Young Women's Empowerment, Student Assistance Services, Aviation, Book, Chess, Robotics, Computer, Spanish, Student Government, Art, Audio (at a live radio station), Music, Digital Art Studio, Guitar and Piano, Literary Magazine, Murals and School Beautification, and Video. At UNHS, we will also help any student develop any club that has 10 or more students interested in joining.",,"New York University, CUNY Baruch College, Parsons School of Design, St. John's University",ESL,3,"Baseball, Basketball & JV Basketball","Basketball, Softball, Volleyball",83%,78%,55%,7.5,92%,74%,67%,6.6,73%,64%,41%,7.1,Proficient,2012-13,Bilingual Mandarin,Business,,,,,,,25,24,20,2
5,01M450,East Side Community School,Manhattan,6,12,10009,649,Consortium School,"As an Early College High School, our unique, successful collaboration with Brooklyn College enables highly motivated students with diverse backgrounds and interests to move from 9th to 12th grade within a challenging academic atmosphere and provides opportunities to earn college credits. We encourage students to function independently in educational settings outside the school building and in an unrestricted college campus environment. We are a collaborative community of leaders and learners whose learning environment is characterized by equity and excellence.","Early College students in grades 10 through 12 are actively enrolled in college credit-bearing classes offered through Brooklyn College which include Psychology, Philosophy, Sociology, Theater, Chemistry, Precalculus, Calculus, Spanish and Speech; Pre-college course for all ninth graders in preparation for college work in tenth grade; Art, Music, Band, World Ensemble, Stained Glass are also offered; We are a member of the Middle College National Consortium, a national organization of early college high schools housed on college campuses; We are a member of the National Network for Educational Renewal, which supports the collaboration of high schools and institutions of higher education; We received Early College High School status in 2007",,"Calculus AB, English Literature and Composition","After-School Tutoring, Art Portfolio Classes, Chess Team, I Challenge Myself Bicycling Program, Dance, Environmental Committee, Gay/Straight Alliance, Hip-Hop Beat Making & Rhyming, Model UN, School Newspaper, Peer Tutoring, the Brotherhood and Girl's Group, Principal's Book Club, Yoga, Rock Band Program, SAT Prep Classes, Scholars Program, School Newspaper, Skateboarding PE Classes, Student Council, Cheerleading, Gardening Internships, Choir, Travel, Volleyball, Morgan Stanley Internship Program, Saturday Photography Program, Rock Climbing at Brooklyn Boulders, Golf, Video Game Design, Surfing and Snowboarding through Stoked.","Basketball, Bicycling, Fitness, Flag Football, Indoor Soccer, Running, Skateboarding, Softball, Volleyball","Columbia Teachers College, New York University, The New School, John Jay College, Hunter College, Borough of Manhattan Community College (BMCC) Upward Bound, Bard College, Gettysburg College, Fashion Institute of Technology (FIT) Summer Program, At Home in College CUNY Program.",ESL,1,Basketball,Basketball,92%,76%,58%,8.4,92%,73%,56%,7.3,85%,80%,65%,7.5,Well Developed,2007-08,East Side Community,Humanities & Interdisciplinary,,,,,,,90,1454,10,58
6,01M509,Marta Valle High School,Manhattan,9,12,10002,401,,"As a small school in the historical landmark building at Morris Educational Campus, School for Excellence has just celebrated its 10th year anniversary. We are dedicated to developing academic, social and cultural experiences by exposing students to civic and interactive educational fieldwork. Our school has multicultural curricula that integrate the arts into academic classes. Our school features extended class periods, small classes, computers, SMART Boards in all classrooms, Advisory and an exciting extended day program. We use traditional as well as portfolio assessments in order to prepare students for Regents Examinations. We begin preparing students for college in the first year with special counseling and overnight trips to colleges. Some of the colleges that our students have graduated from are SUNY Albany, Columbia University, Binghamton University, Syracuse University, Stony Brook University, Hunter College, John Jay College, The City College of New York, Marist College, Lehman College, Cornell University and SUNY Geneseo. As you can see, our students are prepared for higher education and careers and are ready to assume their roles as citizens of our country and the world.","Arts Integration theme in classrooms: Poetry, Drama, Photography, Painting and Drawing, Peer Mediation, Robotics Team, 12th Grade College Counselor Program","French, Spanish","English Literature and Composition, Studio Art: Drawing","Model Peer Leadership Program, 'The Vine' Student Newsletter, 21st Century After-school Program, Student Ambassadors, Animation, Annual College and Career Fair, Annual Family Night, Art, Audio Recording, Camping, Theater Trips, Cheerleading, Chorus, College Trips & Tours, CUNY and Free Application for Federal Student Aid (FAFSA) Application Workshops, Dance, Film, Gallatin Great Works Project (NYU), Kaplan SAT Prep, Monthly Family Resource Fairs, MOUSE Squad, Music Recording, National Honor Society, on-site Placement and Referral Office for Summer Youth Employment Program, Parent Resource Room, Painting, Peer Mediation and Conflict Resolution, Piano, Princeton Center for Leadership, Recycling, Saturday Success Academy Regents Prep, Smart and Fabulous Fashion Show, Songwriting, Step Dance, Student Advisory Council, Student Ambassador Program, Sarah Lawrence College Student Interns, lunchtime Cafe Clubs, Theater, Video and Production, Visual Art, Voice, Young Entrepreneurs","Volleyball, Zumba","New York University (NYU), Sarah Lawrence College, Williams College, Borough of Manhattan Community College (BMCC), Empire State College, Minister of Education of Quebec, International Remote Networked Schools Project",ESL,1,"Baseball, Basketball & JV Basketball","Basketball, Softball, Volleyball",59%,36%,38%,6.5,69%,60%,48%,6.5,71%,62%,39%,7.2,Proficient,2009-10,Marta Valle High School,Humanities & Interdisciplinary,,,,,,,150,255,None,None
7,01M539,"New Explorations into Science, Technology and Math High School",Manhattan,K,12,10002,1725,, â€“ a sound mind in a sound body.,"Field Study Trips throughout New York City, Elective Classes, Arts, Dance, Advisory","Chinese (Mandarin), French, Italian, Latin, Spanish","Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Comparative Government and Politics, Computer Science A, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language and Culture, Human Geography, Microeconomics, Physics B, Psychology, Spanish Language and Culture, Statistics, United States History, World History","After-school Jazz Band, Annual Coffee House Concert, Annual Gallery Walk Art Exhibitions, Badminton, Baseball, Basketball, Borough Advisory Student Council, Boys Soccer, Community Service Learning, Competitive Ballroom Dancing, Creative Writing, Debate Committee, Debate Team, Educational Field Trips, Girls Volleyball, Green Club, Gay-Straight Alliance (GSA), Handball, Heart to Heart Charity, Kangaroo International Competition, Mandarin, Math Team, Model UN, National and Local Chess Championships, National Honor Society, NESTFest (Annual Talent Show), New York Math League Competition, Peer Leaders, Red Cross, Robotics, Scholastic Arts Competition, School Leadership Team (SLT), Social Justice, Softball, Student Government, The City Tones (Chorus), The Gauss Contest, The Purple Meet, Time Warner Cable, Ultimate Frisbee, Varsity Dance Team, Winter and Spring School Plays, World Science Festival","Badminton, Baseball, Cross-Country, Dance, Outdoor Track, Soccer, Softball, Table Tennis, Volleyball","Hunter College, New York University, Cornell University, St. John's University, Pace University, Baruch College",ESL,1,Wrestling,,99%,98%,84%,7.6,97%,98%,83%,7.2,96%,96%,87%,7.8,Proficient,2010-11,"Science, Technology and Math Institute",Science & Math,Scores 85-100,Scores 85-100,Scores 85-100,Scores 85-100,Levels 3-4,Levels 3-4,160,2729,10,126
8,01M696,Bard High School Early College,Manhattan,9,12,10002,560,,A supportive and rigorous college preparatory environment that places emphasis on giving back to the community. All students take four years of all core subjects and work towards an Advanced Regents diploma.,"Four years of Advisory, English, Social Studies, Math and Science courses; Wide array of arts options in all grades includes offerings in visual arts, music and media/technology; Underclassmen take Foundations of Math, Health, Computational Thinking and Writing Seminar; Upperclassmen have electives available in every subject, including advanced and AP courses","Chinese (Mandarin), Latin, Spanish",,"Bard Bulletin online newspaper, Bardvark student newspaper, Art Magazine, Asian Culture, BHSEC Connect, BHSEC Literary Magazine, BHSEC Student Activist Network, BHSEC Student's Union, Book, Break Dance, CAFE performances, Chinese Language and Culture, Current Events, Debate, ECO, Film, Future Doctors and Scientists of America (FDSA), Karaoke, Literary Magazine, MAC (Making A Change), Mock Trial, Model UN, Muslim Students Association, Philosophy, Step Team, Swim, Table Tennis, Theater Production, Winter and Spring Concerts, Yearbook",Co-ed Ultimate Frisbee,"Bard College, Bard College at Simon's Rock, Rockefeller University, New York University, Union College",ESL,1,"Baseball, Basketball, Football & JV Football, Outdoor Track, Soccer, Tennis","Basketball, Football, Outdoor Track, Soccer, Softball, Tennis, Volleyball",96%,98%,94%,8.2,96%,97%,97%,8,97%,97%,89%,7.8,Well Developed,2009-10,Early College,Humanities & Interdisciplinary,Scores 85-100,Scores 85-100,Scores 85-100,Scores 85-100,Levels 3-4,Levels 3-4,150,3215,10,74
9,02M047,47 The American Sign Language and English Secondary School,Manhattan,9,12,10010,184,,"At Bronx Envision Academy (BEA), imagination is the key to success. BEA empowers students by emphasizing artistic and academic achievement. Our arts electives include visual art, dance, creative writing, theater and graphic design. Student success is promoted by teaching artists working alongside classroom teachers, collaborations with arts organizations and local businesses and by defining a learning process in all academic disciplines that mirrors the artistic process. Bronx Envision is a college preparatory school. In addition to completing challenging course work, our students research colleges and tour colleges beginning in ninth grade. Dedicated to providing students with the resources necessary for their success, BEA enables students to graduate as creative and analytical thinkers ready for college and beyond.","Small Group Advisory, Off-site and Project-based Learning, Portfolio Development, Career and College Counseling, Partnerships with Arts Institutions, Internships with organizations and businesses, and iLearn technology program. Arts electives include: Studio Art, Graphic Design, Modern Dance and Ballet, Theater, Film, and Creative Writing. Other electives include the History of Sports and Spanish. Bronx Envision juniors and seniors take College Now courses at Lehman College. As Bronx Envision expands, we will offer Advanced Placement and college courses, a music program, and additional sports and extracurricular programs based on our students' interests.",American Sign Language,,"Academic Bowl, ACT and SAT Test Preparation, After-school Mentoring and Tutoring, American Sign Language (ASL), Artist-in-Residence from Children's Museum of the Arts, Arts and Crafts, Boys Club, Chess, Comic Books, Community and Museum Internships, Computer-Photoshop, Conflict Resolution, Dance, Drama, Girls Club, Knitting, Mock Debates, One-on-one tutoring in all subjects, Peer Mediation, Regents Test Preparation, School Newspaper (in print and video), Student Council, Student Discussion Boards, Video Production and Editing, Visits to American Sign Language (ASL) Interpreted Broadway shows, Weight Room, Yearbook","Basketball, Cross Country, Track, Volleyball","New York University (NYU), The City University of New York (CUNY), Baruch College, LaGuardia Community College, Gallaudet University, Rochester Institute of Technology (RIT)",ESL,1,,,98%,71%,42%,7.5,68%,55%,30%,7.3,72%,65%,41%,7.2,Proficient,2009-10,English/American Sign Language Dual Language Environment,Humanities & Interdisciplinary,Scores 75-100,Scores 75-100,Scores 75-100,Scores 75-100,Levels 2-4,Levels 2-4,69,161,8,11
10,02M135,The Urban Assembly School for Emergency Management,Manhattan,9,11,10019,116,CTE School,"At Bronx River High School, you find a dedicated staff of highly qualified teachers that share a passion for creating an exceptional school. We have one focus: to ensure that our students are prepared for a college education, both academically and socially, once they graduate from our school. We stress the importance of a strong moral character with an emphasis on personal responsibility and community service. We have a strong Advisory program, where each student keeps the same Teacher Advisor throughout their high school career in order to ensure that our students meet and exceed their goals. We offer a highly developed college preparatory program that includes college partnerships, frequent college visits, SAT preparation and family assistance throughout the college application process.","Extended Day Monday through Thursday with double block math, strong emphasis on writing using the Hochman Writing Method and integration of Achieve3000 (an online Common Core reading program), early dismissal Fridays at 12:20 PM; as we expand, we plan to offer AP Calculus, AP Language and Composition, AP Literature, AP Environmental Science, AP Statistics",,,"Peer Mediation, Peer Tutoring, Student Council, National Honor Society, Yearbook, PSAT and SAT Preparation, Step, Dance; Clubs: Drama, Art and Photography, Chess",Intramural Basketball,,ESL,1,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cross Country, Football & JV Football, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling","Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The Urban Assembly School for Emergency Management,Law & Government,,,,,,,108,476,None,None
